number,value,duration,params_dropout,params_hidden_dim,params_look_back,state
0,0.6429578065872192,0 days 00:00:12.965336,0.0,176,4,COMPLETE
1,0.7195343971252441,0 days 00:00:08.016009,0.25,144,20,COMPLETE
2,0.6756315231323242,0 days 00:00:09.220309,0.30000000000000004,192,16,COMPLETE
3,0.6337683200836182,0 days 00:00:21.055678,0.1,32,4,COMPLETE
4,0.7010115385055542,0 days 00:00:09.893095,0.35000000000000003,112,12,COMPLETE
5,0.6726537346839905,0 days 00:00:19.940193,0.35000000000000003,32,20,COMPLETE
6,0.7179650068283081,0 days 00:00:11.406595,0.30000000000000004,128,16,COMPLETE
7,0.6778033971786499,0 days 00:00:14.335762,0.25,32,16,COMPLETE
8,0.7075852751731873,0 days 00:00:09.687638,0.25,128,16,COMPLETE
9,0.7124353647232056,0 days 00:00:10.216029,0.35000000000000003,128,8,COMPLETE
10,0.6356034278869629,0 days 00:00:11.801457,0.05,240,4,COMPLETE
11,0.6354014873504639,0 days 00:00:14.487327,0.05,256,4,COMPLETE
12,0.7834011316299438,0 days 00:00:12.561480,0.1,64,8,COMPLETE
13,0.7210414409637451,0 days 00:00:08.563223,0.15000000000000002,256,8,COMPLETE
14,0.6323319673538208,0 days 00:00:15.254638,0.5,80,4,COMPLETE
15,0.7230281829833984,0 days 00:00:10.057528,0.5,80,24,COMPLETE
16,0.6707488298416138,0 days 00:00:26.094506,0.5,16,8,COMPLETE
17,0.7279145121574402,0 days 00:00:11.613711,0.15000000000000002,80,12,COMPLETE
18,0.6307799220085144,0 days 00:00:20.093166,0.45,48,4,COMPLETE
19,0.7213684320449829,0 days 00:00:12.270269,0.4,64,12,COMPLETE
20,0.6326607465744019,0 days 00:00:13.238317,0.45,96,4,COMPLETE
21,0.6373969912528992,0 days 00:00:15.225322,0.45,96,4,COMPLETE
22,0.7064026594161987,0 days 00:00:13.779275,0.45,64,8,COMPLETE
23,0.638584315776825,0 days 00:00:15.248090,0.45,96,4,COMPLETE
24,0.6987423896789551,0 days 00:00:17.372403,0.5,48,8,COMPLETE
25,0.6283583045005798,0 days 00:00:13.258622,0.4,96,4,COMPLETE
26,0.830963134765625,0 days 00:00:07.659210,0.4,160,8,COMPLETE
27,0.6355515122413635,0 days 00:00:30.361353,0.4,16,4,COMPLETE
28,0.7480061054229736,0 days 00:00:10.158942,0.5,48,12,COMPLETE
29,0.640356719493866,0 days 00:00:10.842321,0.4,192,4,COMPLETE
30,0.6255736947059631,0 days 00:00:16.562836,0.45,80,4,COMPLETE
31,0.6353804469108582,0 days 00:00:13.982603,0.45,80,4,COMPLETE
32,0.6320661902427673,0 days 00:00:13.346635,0.5,112,4,COMPLETE
33,0.7281889319419861,0 days 00:00:11.563135,0.4,112,8,COMPLETE
34,0.6328961849212646,0 days 00:00:09.840471,0.45,160,4,COMPLETE
35,0.6468839645385742,0 days 00:00:14.456708,0.30000000000000004,112,4,COMPLETE
36,0.7221667170524597,0 days 00:00:06.620248,0.35000000000000003,144,20,COMPLETE
37,0.7176923155784607,0 days 00:00:17.643287,0.5,48,8,COMPLETE
38,0.6297834515571594,0 days 00:00:15.542434,0.35000000000000003,96,4,COMPLETE
39,0.7375494837760925,0 days 00:00:12.546397,0.25,96,12,COMPLETE
40,0.7050886750221252,0 days 00:00:11.650504,0.35000000000000003,32,24,COMPLETE
41,0.6353482007980347,0 days 00:00:12.344389,0.4,112,4,COMPLETE
42,0.646714448928833,0 days 00:00:14.413650,0.30000000000000004,64,4,COMPLETE
43,0.6359893679618835,0 days 00:00:13.521539,0.45,128,4,COMPLETE
44,0.8193001747131348,0 days 00:00:10.248371,0.35000000000000003,112,8,COMPLETE
45,0.6216790676116943,0 days 00:00:14.594612,0.4,96,4,COMPLETE
46,0.695540189743042,0 days 00:00:11.555115,0.30000000000000004,80,8,COMPLETE
47,0.6206243634223938,0 days 00:00:18.052243,0.35000000000000003,48,4,COMPLETE
48,0.6895995736122131,0 days 00:00:11.323635,0.2,64,8,COMPLETE
49,0.6328473091125488,0 days 00:00:10.817897,0.35000000000000003,144,4,COMPLETE
50,0.7825455665588379,0 days 00:00:11.844309,0.35000000000000003,96,20,COMPLETE
51,0.6203849911689758,0 days 00:00:23.548575,0.4,32,4,COMPLETE
52,0.6422778367996216,0 days 00:00:21.604091,0.4,32,4,COMPLETE
53,0.6320988535881042,0 days 00:00:13.486840,0.30000000000000004,80,4,COMPLETE
54,0.6937851309776306,0 days 00:00:29.528993,0.35000000000000003,16,4,COMPLETE
55,0.6701845526695251,0 days 00:00:23.180439,0.4,32,4,COMPLETE
56,0.8066678643226624,0 days 00:00:09.064661,0.25,224,8,COMPLETE
57,0.6341763138771057,0 days 00:00:16.620211,0.4,64,4,COMPLETE
58,0.6972002387046814,0 days 00:00:11.668387,0.35000000000000003,48,16,COMPLETE
59,0.7944607138633728,0 days 00:00:09.146965,0.4,96,8,COMPLETE
60,0.6315744519233704,0 days 00:00:13.418382,0.0,128,4,COMPLETE
61,0.6371925473213196,0 days 00:00:21.906264,0.45,48,4,COMPLETE
62,0.6327179670333862,0 days 00:00:14.894455,0.45,64,4,COMPLETE
63,0.6342889666557312,0 days 00:00:34.034564,0.45,32,4,COMPLETE
64,0.6385841369628906,0 days 00:00:24.025922,0.4,48,4,COMPLETE
65,0.632540762424469,0 days 00:00:19.902251,0.4,80,4,COMPLETE
66,0.7004469037055969,0 days 00:00:22.688914,0.45,16,8,COMPLETE
67,0.6300644874572754,0 days 00:00:19.879126,0.35000000000000003,32,4,COMPLETE
68,0.640622079372406,0 days 00:00:34.424089,0.30000000000000004,32,4,COMPLETE
69,0.6395320892333984,0 days 00:00:17.706940,0.35000000000000003,80,4,COMPLETE
70,0.7028777599334717,0 days 00:00:10.964223,0.35000000000000003,96,8,COMPLETE
71,0.6687952280044556,0 days 00:00:35.760698,0.4,16,4,COMPLETE
72,0.6461741328239441,0 days 00:00:20.009296,0.45,48,4,COMPLETE
73,0.6395294666290283,0 days 00:00:16.229466,0.5,64,4,COMPLETE
74,0.6430547833442688,0 days 00:00:32.216446,0.4,32,4,COMPLETE
75,0.6454256772994995,0 days 00:00:16.276090,0.30000000000000004,96,4,COMPLETE
76,0.6258580088615417,0 days 00:00:28.115393,0.35000000000000003,48,4,COMPLETE
77,0.6301773190498352,0 days 00:00:17.990843,0.35000000000000003,64,4,COMPLETE
78,0.696009635925293,0 days 00:00:10.373938,0.30000000000000004,80,8,COMPLETE
79,0.6303613185882568,0 days 00:00:21.943769,0.35000000000000003,48,4,COMPLETE
80,0.7233035564422607,0 days 00:00:12.959170,0.25,112,8,COMPLETE
81,0.6247014999389648,0 days 00:00:16.661914,0.35000000000000003,64,4,COMPLETE
82,0.6273598670959473,0 days 00:00:16.540866,0.35000000000000003,80,4,COMPLETE
83,0.6249909400939941,0 days 00:00:14.025627,0.4,80,4,COMPLETE
84,0.640638530254364,0 days 00:00:15.262388,0.4,80,4,COMPLETE
85,0.6309413313865662,0 days 00:00:16.857028,0.4,64,4,COMPLETE
86,0.6347725987434387,0 days 00:00:13.863724,0.4,64,4,COMPLETE
87,0.6920541524887085,0 days 00:00:09.276087,0.35000000000000003,80,16,COMPLETE
88,0.6276401877403259,0 days 00:00:20.524028,0.30000000000000004,48,4,COMPLETE
89,0.6384798288345337,0 days 00:00:19.177471,0.30000000000000004,48,4,COMPLETE
90,0.640848696231842,0 days 00:00:27.437371,0.30000000000000004,48,4,COMPLETE
91,0.6467116475105286,0 days 00:00:16.821605,0.35000000000000003,64,4,COMPLETE
92,0.6433266401290894,0 days 00:00:14.266493,0.4,80,4,COMPLETE
93,0.6375125050544739,0 days 00:00:14.933111,0.35000000000000003,96,4,COMPLETE
94,0.6530964374542236,0 days 00:00:17.289191,0.30000000000000004,64,4,COMPLETE
95,0.6281896233558655,0 days 00:00:16.711635,0.4,80,4,COMPLETE
96,0.6255707144737244,0 days 00:00:19.670390,0.35000000000000003,48,4,COMPLETE
97,0.7007327675819397,0 days 00:00:16.017712,0.35000000000000003,48,24,COMPLETE
98,0.6368081569671631,0 days 00:00:31.156161,0.30000000000000004,32,4,COMPLETE
99,0.6455991268157959,0 days 00:00:17.960689,0.25,48,8,COMPLETE
